Perfil,Coord_X,Coord_Y,Lim_sup,Lim_inf,Da,CO_g
CG1-P009,679562,9758034,0,24,1.41,11.6
CG1-P016,699434,9765581,0,5,1.33,34.8
CG1-P017,696893,9768441,0,30,1.29,39.44
CG1-P018,693618,9772357,0,20,1.29,40.02
CG1-P019,695768,9775445,0,15,1.03,35.96
CG1-P020,694480,9779248,0,10,1.11,34.8
CG1-P026,661857,9850399,0,30,1.58,2.9
CG1-P027,658905,9848527,0,10,1.4,24.36
CG1-P028,615467,9823416,0,15,1.42,22.04
CG1-P029,613384,9829017,0,30,1.46,16.24
CG1-P030,616246,9831708,21,30,1.42,21.46
CG1-P031,613744,9832344,21,30,1.4,23.78
CG1-P032,607832,9830394,0,30,1.44,19.72
CG1-P033,607877,9858451,0,30,1.5,12.18
CG1-P034,617730,9864910,0,30,1.32,35.96
CG1-P035,613894,9867574,0,30,1.46,16.24
CG1-P036,631407,9875364,21,30,1.38,26.68
CG1-P037,621511,9836245,21,30,1.49,12.76
CG1-P038,618726,9840678,0,15,1.51,11.02
CG1-P039,639309,9868703,21,30,1.48,13.92
CG1-P040,641623,9870976,0,30,1.33,34.8
CG1-P041,615014,9857933,21,30,1.47,15.66
CG1-P042,667696,9845309,21,30,1.09,28.42
CG1-P043,664166,9842049,0,30,0.96,14.5
CG1-P044,662481,9843261,0,30,1.23,26.68
CG1-P045,660852,9843777,11,20,0.82,29
CG1-P046,656936,9839956,0,30,1.29,32.48
CG1-P047,659993,9840461,21,30,1.05,23.2
CG1-P048,592698,9766614,0,30,1.37,28.42
CG1-P049,589550,9767718,21,30,1.4,24.94
CG1-P050,591633,9766972,21,30,1.38,26.68
CG1-P051,593498,9767170,21,30,1.48,13.92
CG1-P052,595460,9780323,0,30,1.42,1.74
CG1-P053,594629,9782214,0,30,1.4,8.7
CG1-P057,596484,9780934,21,30,1.44,19.72
CG1-P058,596141,9781426,0,30,1.42,22.04
CG1-P059,587831,9827338,0,30,1.34,17.98
CG1-P060,586305,9827699,21,30,1.33,33.64
CG1-P061,587013,9829682,21,30,1.48,13.92
CG1-P062,586006,9829679,21,30,1.46,16.24
CG1-P063,584708,9836027,21,30,1.53,8.7
CG1-P064,584168,9837078,0,30,1.53,8.7
CG1-P065,574885,9831148,21,30,1.27,35.96
CG1-P066,583743,9839030,0,30,1.41,23.2
CG1-P067,580667,9834942,0,30,1.57,4.06
CG1-P068,579737,9831555,21,30,1.45,18.56
CG1-P069,581626,9831673,21,30,1.45,17.4
CG1-P070,578384,9823737,0,30,1.43,20.3
CG1-P071,578452,9823797,21,30,1.44,19.72
CG1-P072,571919,9824228,21,30,1.38,27.26
CG1-P073,659810,9905406,0,30,0.78,35.96
CG1-P074,664869,9904918,0,30,0.99,49.3
CG1-P075,659534,9902784,0,30,1.1,18.56
CG1-P076,660440,9903026,0,30,0.98,18.56
CG1-P077,662111,9899659,0,30,0.94,10.44
CG1-P078,664130,9899635,0,30,1.02,30.74
CG1-P079,659555,9896105,21,30,1.15,9.28
CG1-P080,661898,9894706,0,30,0.96,23.2
CG1-P081,661566,9894345,0,30,1.33,34.8
CG1-P082,661824,9894341,0,30,1.12,17.4
CG1-P083,664807,9896070,0,30,0.77,32.48
CG1-P084,662673,9891992,0,30,0.99,27.26
CG1-P085,660060,9891375,0,30,1.23,49.3
CG1-P086,660748,9888292,21,30,1.17,22.04
CG1-P087,661174,9886990,0,30,0.88,25.52
CG1-P088,660193,9887585,21,30,1.38,27.26
CG1-P089,658875,9884242,0,30,1.39,25.52
CG1-P090,584941,9800987,21,30,1.5,12.18
CG1-P091,586265,9802770,21,30,1.53,8.7
CG1-P092,587830,9802421,21,30,1.47,15.66
CG1-P093,574187,9810314,21,30,1.37,28.42
CG1-P094,574735,9809277,21,30,1.43,20.3
CG1-P095,574482,9809387,21,30,1.46,16.24
CG1-P096,573551,9809287,0,30,1.42,21.46
CG1-P097,573726,9809223,21,30,1.38,26.68
CG1-P098,572905,9809229,0,30,1.54,7.54
CG1-P099,580175,9806841,21,30,1.51,11.02
CG1-P100,580024,9812721,0,30,1.54,6.96
CG1-P101,580754,9812191,0,30,1.45,18.56
CG1-P102,583770,9812522,0,30,1.48,13.92
CG1-P103,584575,9810955,21,30,1.34,32.48
CG1-P104,582906,9810757,21,30,1.44,19.72
CG1-P105,594032,9855666,0,30,1.47,15.66
CG1-P106,597235,9855915,0,30,1.56,5.8
CG1-P107,588424,9844595,0,30,1.47,15.66
CG1-P108,586246,9844297,0,30,1.54,6.96
CG1-P109,588475,9842343,0,30,1.38,26.68
CG1-P110,588380,9842376,21,30,1.47,15.66
CG1-P111,588578,9846910,0,30,1.51,10.44
CG1-P112,590575,9847435,0,30,1.46,16.24
CG1-P113,588978,9850648,0,30,1.51,11.02
CG1-P114,591211,9847550,21,30,1.54,6.96
CG1-P115,589962,9849466,0,30,1.42,22.04
CG1-P116,587582,9845107,0,30,1.03,7.54
